sku;nombre;slug;descripcion;categoria;marca;linea;precio;stock;tags;attr_tipo;attr_espesor;attr_color;attr_textura;attr_medidas
TAB-ACC-FAP-18-MDF;ALUMINIO;aluminioclasico-faplac-18-mdf;Tablero Aluminio Clasico;Textura;FAPLAC;CLASICOS;;;aluminio,faplac,mdf;Melamina;18;;;
TAB-LIC-FAP-18-MDF;LITIO;litioclasico-faplac-18-mdf;Tablero Litio Clasico;Textura;FAPLAC;CLASICOS;;;litio,faplac,mdf;Melamina;18;;;
TAB-NPC-FAP-18-MDF;NEGRO PROFUNDO;negro profundoclasico-faplac-18-mdf;Tablero Negro Profundo Clasico;Textura;FAPLAC;CLASICOS;;;negro, clasico;Melamina;18;;;
TAB-ENC-FAP-18-MDF;EBANO NEGRO;;;Woodtext;FAPLAC;Maderas Clasicas;;;negro, clasico;Melamina;;;;
TAB-RAC-FAP-18-MDF;ROBLE AMERICANO;;;Supermate;FAPLAC;Maderas Clasicas;;;americano, clasico;Melamina;;;;
TAB-RAC-FAP-18-AGL;ROBLE AMERICANO;;;Nature;FAPLAC;Maderas Clasicas;;;americano, clasico;Melamina;;;;
TAB-RDC-FAP-18-MDF;ROBLE DAKAR;;;Woodtext;FAPLAC;Maderas Clasicas;;;dakar, clasico;Melamina;;;;
TAB-RDW-FAP-18-MDF;ROBLE DAKAR;;;Nature;FAPLAC;Maderas Clasicas;;;dakar, clasico;Melamina;;;;
TAB-HAY-FAP-18-MDF;HAYA;;;Woodtext;FAPLAC;Maderas Clasicas;;;haya, clasico;Melamina;;;;
TAB-CED-FAP-18-MDF;CEDRO;;;Woodtext;FAPLAC;Maderas Clasicas;;;cedro, clasico;Melamina;;;;
TAB-CEN-FAP-18-MDF;CEDRO;;;Nature;FAPLAC;Maderas Clasicas;;;cedro, clasico;Melamina;;;;
TAB-TTC-FAP-18-MDF;TANGANICA TABACO;;;Woodtext;FAPLAC;Maderas Clasicas;;;tabaco, clasico;Melamina;;;;
TAB-PAR-FAP-18-MDF;PARAISO;;;Nature;FAPLAC;Mesopotamia;;;paraiso, clasico;Melamina;;;;
TAB-KIR-FAP-18-MDF;KIRI;;;Bark;FAPLAC;Mesopotamia;;;kiri, clasico;Melamina;;;;
TAB-JAD-FAP-18-MDF;JADE;;;Supermate;FAPLAC;Mesopotamia;;;jade, clasico;Melamina;;;;
TAB-AMA-FAP-18-MDF;AMATISTA;;;Supermate;FAPLAC;Mesopotamia;;;amatista, clasico;Melamina;;;;
TAB-GBM-FAP-18-MDF;GRIS BASALTO;;;Supermate;FAPLAC;Mesopotamia;;;basalto, clasico;Melamina;;;;
TAB-GCM-FAP-18-MDF;GRIS CALIZA;;;Supermate;FAPLAC;Mesopotamia;;;caliza, clasico;Melamina;;;;
TAB-GTM-FAP-18-MDF;GRIS TAPIR;;;Supermate;FAPLAC;Mesopotamia;;;tapir, clasico;Melamina;;;;
TAB-GAU-FAP-18-MDF;GAUDI;;;Nature;FAPLAC;Nature;;;gaudi, clasico;Melamina;;;;
TAB-NMN-FAP-18-MDF;NOCCE MILANO;;;Nature;FAPLAC;Nature;;;milano, clasico;Melamina;;;;
TAB-CMN-FAP-18-MDF;CARVALHO MEZZO;;;Nature;FAPLAC;Nature;;;mezzo, clasico;Melamina;;;;
TAB-TEN-FAP-18-MDF;TERRARUM;;;Nature;FAPLAC;Nature;;;terrarum, clasico;Melamina;;;;
TAB-NTN-FAP-18-MDF;NOGAL TERRACOTA;;;Nature;FAPLAC;Nature;;;terracota, clasico;Melamina;;;;
TAB-TAN-FAP-18-MDF;TEKA ARTICO;;;Nature;FAPLAC;Nature;;;artico, clasico;Melamina;;;;
TAB-LCN-FAP-18-MDF;LINOSA CINZA;;;Nature;FAPLAC;Nature;;;cinza, clasico;Melamina;;;;
TAB-CAN-FAP-18-MDF;CAJU;;;Nature;FAPLAC;Nature;;;caju, clasico;Melamina;;;;
TAB-MBN-FAP-18-MDF;MONT BLANC;;;Nature;FAPLAC;Nature;;;blanc, clasico;Melamina;;;;
TAB-VEN-FAP-18-MDF;VENEZIA;;;Nature;FAPLAC;Nature;;;venezia, clasico;Melamina;;;;
TAB-CAN-FAP-18-MDF;CARVALHO ASERRADO;;;Nature;FAPLAC;Nature;;;aserrado, clasico;Melamina;;;;
TAB-SAH-FAP-18-MDF;SEDA AZZURRA;;;Hilados;FAPLAC;Hilados;;;azzurra, clasico;Melamina;;;;
TAB-SGH-FAP-18-MDF;SEDA GIORNO;;;Hilados;FAPLAC;Hilados;;;giorno, clasico;Melamina;;;;
TAB-SNH-FAP-18-MDF;SEDA NOTTE;;;Hilados;FAPLAC;Hilados;;;notte, clasico;Melamina;;;;
TAB-LTH-FAP-18-MDF;LINO TERRA;;;Hilados;FAPLAC;Hilados;;;terra, clasico;Melamina;;;;
TAB-LCH-FAP-18-MDF;LINO CHIARO;;;Hilados;FAPLAC;Hilados;;;chiaro, clasico;Melamina;;;;
TAB-LNH-FAP-18-MDF;LINO NEGRO;;;Hilados;FAPLAC;Hilados;;;negro, clasico;Melamina;;;;
